Position,Name,Year,LetterboxdURI,Description
118,Angel's Egg,1985,https://boxd.it/1LeA,
119,To Be or Not to Be,1942,https://boxd.it/2aTy,
120,Halloween,1978,https://boxd.it/2wRu,
121,Misery,1990,https://boxd.it/28gY,
122,Holiday,1938,https://boxd.it/1Ks2,
123,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE,
124,Rear Window,1954,https://boxd.it/2a6Q,
125,Possession,1981,https://boxd.it/1BPm,
126,WarGames,1983,https://boxd.it/29qU,
127,The Day the Earth Stood Still,1951,https://boxd.it/29w4,
128,Koyaanisqatsi,1982,https://boxd.it/1U9E,
129,Double King,2017,https://boxd.it/g2Sq,
130,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
131,The Magnificent Seven,1960,https://boxd.it/29bA,
132,KPop Demon Hunters,2025,https://boxd.it/ufwK,
133,The Power of the Dog,2021,https://boxd.it/m99E,
134,Fight Club,1999,https://boxd.it/2a9q,
135,"Hi, How Are You Daniel Johnston?",2015,https://boxd.it/fxAA,
136,"What's Opera, Doc?",1957,https://boxd.it/x4Y,
137,Flowers of Shanghai,1998,https://boxd.it/Omq,
138,The Many Adventures of Winnie the Pooh,1977,https://boxd.it/7l0Y,
139,Cameraperson,2016,https://boxd.it/d5ve,
140,The Wages of Fear,1953,https://boxd.it/2aSK,
141,La Jetée,1962,https://boxd.it/29Sk,
142,12 Angry Men,1957,https://boxd.it/2auI,
143,The Blair Witch Project,1999,https://boxd.it/26ua,
144,Elephant,2003,https://boxd.it/287i,
145,Rashomon,1950,https://boxd.it/2a9K,
146,F for Fake,1973,https://boxd.it/VxA,
147,Ikiru,1952,https://boxd.it/251c,
148,Tampopo,1985,https://boxd.it/1SZe,
149,Requiem for a Dream,2000,https://boxd.it/29VI,
150,The Green Mile,1999,https://boxd.it/2agG,
151,District 9,2009,https://boxd.it/1Iik,
152,In the Mouth of Madness,1994,https://boxd.it/26vi,
153,The Shawshank Redemption,1994,https://boxd.it/2aHi,
154,Tokyo Drifter,1966,https://boxd.it/OTY,
155,Häxan,1922,https://boxd.it/n4O,
156,Generation,2022,https://boxd.it/CRjU,
157,I May Destroy You,2020,https://boxd.it/qX9i,
158,Sweet Smell of Success,1957,https://boxd.it/29aW,
159,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
160,The Elephant Man,1980,https://boxd.it/27LQ,
161,City of God,2002,https://boxd.it/2a2a,
162,Death at a Funeral,2007,https://boxd.it/27dO,
163,Sunset Boulevard,1950,https://boxd.it/2a20,
164,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,
165,Harlequin,1931,https://boxd.it/9qd8,
166,October Sky,1999,https://boxd.it/1Q7u,
167,The Ascent,1977,https://boxd.it/Eew,
168,Wreck-It Ralph,2012,https://boxd.it/2TTS,
169,Pickpocket,1959,https://boxd.it/29O8,
170,Pig,2021,https://boxd.it/nzoW,
171,Kagemusha,1980,https://boxd.it/1SGG,
172,The Circus,1928,https://boxd.it/1orm,
173,The Philadelphia Story,1940,https://boxd.it/29a8,
174,Scream,1996,https://boxd.it/24EC,
175,Escape from New York,1981,https://boxd.it/294k,
176,Cleaners,2019,https://boxd.it/n6HU,
177,A Pigeon Sat on a Branch Reflecting on Existence,2014,https://boxd.it/3Ifa,
178,Pi,1998,https://boxd.it/2ajq,
179,Bobby Yeah,2011,https://boxd.it/458Q,
180,RRR,2022,https://boxd.it/ljDs,
181,Glengarry Glen Ross,1992,https://boxd.it/1Yw8,
182,Ratcatcher,1999,https://boxd.it/1mSg,
183,Fish Tank,2009,https://boxd.it/1xBg,
184,Zodiac,2007,https://boxd.it/27MO,
185,When the Wind Blows,1986,https://boxd.it/1VdC,
186,My Cousin Vinny,1992,https://boxd.it/1WpO,
187,Orlando,1992,https://boxd.it/1Z1K,
188,La Promesse,1996,https://boxd.it/1y8E,
189,Mission: Impossible,1996,https://boxd.it/29d2,
190,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/20VO,
191,The Fall,2006,https://boxd.it/1NoM,
192,Before Sunset,2004,https://boxd.it/2bcg,
193,Memories of Murder,2003,https://boxd.it/1TSo,
194,Stranger Than Fiction,2006,https://boxd.it/28Za,
195,Babe,1995,https://boxd.it/1Yh8,
196,The Truman Show,1998,https://boxd.it/18U8,
197,The Story of Qiu Ju,1992,https://boxd.it/16FU,
198,White Oleander,2002,https://boxd.it/1UUg,
199,Napoleon Dynamite,2004,https://boxd.it/20wu,
200,Rabbit Fire,1951,https://boxd.it/x4u,
201,Stray Dog,1949,https://boxd.it/1ltu,
202,Galaxy Quest,1999,https://boxd.it/29gq,
203,Snow-White,1933,https://boxd.it/4aGy,
204,Back to the Future,1985,https://boxd.it/2b8e,
205,(OO),2017,https://boxd.it/jkzi,
206,Home Alone,1990,https://boxd.it/29Fg,
207,Presto,2008,https://boxd.it/1QYI,
208,The Matrix Reloaded,2003,https://boxd.it/2a1c,
209,City on Fire,1987,https://boxd.it/XGY,
210,Collateral,2004,https://boxd.it/28F0,
211,Chop Shop,2007,https://boxd.it/1LZQ,
212,Ocean's Eleven,2001,https://boxd.it/2aZm,
213,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
214,Kwaidan,1964,https://boxd.it/1kbY,
215,Before Sunrise,1995,https://boxd.it/2bcU,
216,Daisies,1966,https://boxd.it/LZk,
217,The House Is Black,1963,https://boxd.it/STe,
218,The Incredibles,2004,https://boxd.it/1XLm,
219,Death by Hanging,1968,https://boxd.it/3nPm,
220,Coco,2017,https://boxd.it/bYJQ,
221,The Princess Bride,1987,https://boxd.it/26EY,
222,I Saw the TV Glow,2024,https://boxd.it/woVe,
223,Malcolm X,1992,https://boxd.it/27WE,
224,Prince of Darkness,1987,https://boxd.it/1ZKq,
225,They Cloned Tyrone,2023,https://boxd.it/rE7a,
226,Funeral Parade of Roses,1969,https://boxd.it/28Cg,
227,The Treasure of the Sierra Madre,1948,https://boxd.it/25Lk,
228,Babe: Pig in the City,1998,https://boxd.it/1YEQ,
229,In the Mood for Love,2000,https://boxd.it/29tE,
230,WALL·E,2008,https://boxd.it/1VEo,
231,Psycho,1960,https://boxd.it/2ab2,
232,Ghostbusters,1984,https://boxd.it/g2w,
233,Challengers,2024,https://boxd.it/zld0,
234,Suspiria,2018,https://boxd.it/cioI,
235,Léon: The Professional,1994,https://boxd.it/2b8S,
236,Mermaid,2007,https://boxd.it/2vso,
237,Snatch,2000,https://boxd.it/2b7U,
238,Clue,1985,https://boxd.it/1MDQ,
239,Rabbit Seasoning,1952,https://boxd.it/xJ8,
240,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,
241,Black Swan,2010,https://boxd.it/Sw0,
242,There Will Be Blood,2007,https://boxd.it/20Z2,
243,The Rules of the Game,1939,https://boxd.it/29Es,
244,Iron Man,2008,https://boxd.it/28dA,
245,Beauty and the Beast,1991,https://boxd.it/1XhG,
246,The Lego Movie,2014,https://boxd.it/4pDO,
247,Unforgiven,1992,https://boxd.it/6Z4,
248,The Big Short,2015,https://boxd.it/ajZw,
249,Tremors,1990,https://boxd.it/1YSe,
250,Hero,2002,https://boxd.it/2bcq,
251,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
252,Last Action Hero,1993,https://boxd.it/1YhW,
253,Star Trek II: The Wrath of Khan,1982,https://boxd.it/2b0u,
254,The Big City,1963,https://boxd.it/fI2,
255,Dark Star,1974,https://boxd.it/28Ow,
256,Metropolis,2001,https://boxd.it/1YfQ,
257,The Immaculate Conception of Little Dizzle,2009,https://boxd.it/Bey,
258,A Streetcar Named Desire,1951,https://boxd.it/29Mc,
259,Sneakers,1992,https://boxd.it/26VU,
260,Legally Blonde,2001,https://boxd.it/1ZNa,4.5 star threshold (10%)
261,Walkabout,1971,https://boxd.it/1bsG,
262,Journey to the Shore,2015,https://boxd.it/b3D2,
263,Children of Heaven,1997,https://boxd.it/1C5k,
264,Child's Play,1988,https://boxd.it/1VTo,
265,Godzilla,1954,https://boxd.it/28kc,
266,Oppenheimer,2023,https://boxd.it/wUow,
267,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,
268,Brazil,1985,https://boxd.it/2be2,
269,Contact,1997,https://boxd.it/29OM,
270,Inception,2010,https://boxd.it/1skk,
271,An American Werewolf in London,1981,https://boxd.it/29yk,
272,The Long Good Friday,1980,https://boxd.it/1NlS,
273,Mean Girls,2004,https://boxd.it/1VNg,
274,The Battle of Algiers,1966,https://boxd.it/1IRY,
275,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
276,Gate of Hell,1953,https://boxd.it/UHY,
277,The Magician,1958,https://boxd.it/1nse,
278,Brief Encounter,1945,https://boxd.it/29sm,
279,Memento,2000,https://boxd.it/2bcK,
280,All the President's Men,1976,https://boxd.it/29lU,
281,Moon,2009,https://boxd.it/1IGQ,
282,Father Goose,1964,https://boxd.it/1lDE,
283,First Blood,1982,https://boxd.it/28U0,
